(Parent) ASIN,(Child) ASIN,Title,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B,Units refunded,Units refunded – B2B,Refund Rate,Refund rate – B2B,Shipped product sales,Shipped Product Sales – B2B,Units shipped,Units Shipped – B2B,Orders shipped,Orders Shipped – B2B
B07H8T68MM,B0716R3CPV,"Bourjois 2-in-1 Khôl and Contour Eyeliner and Eye Pencil 3 Misti-Gris, 1.2g",74,0,57,2,131,2,0.00%,0.00%,0.01%,0.03%,0.01%,0.01%,100,0,77,3,177,3,0.00%,0.00%,0.01%,0.03%,0.01%,0.01%,0.00%,0.00%,1,0,0.76%,0.00%,£4.52,£0.00,1,0,0,0,0.00%,0.00%,£3.77,£0.00,1,0,1,0
B0968M98RB,B0722HGYDH,"Rimmel Stay Matte Liquid Lipstick, Moca",45,2,19,0,64,2,0.00%,0.02%,0.00%,0.00%,0.00%,0.01%,62,2,26,0,88,2,0.00%,0.02%,0.00%,0.00%,0.00%,0.01%,2.35%,0.00%,1,0,1.56%,0.00%,£4.95,£0.00,1,0,0,0,0.00%,0.00%,£4.12,£0.00,1,0,1,0
B09HV9F6JJ,B073HBZRX3,Maybelline Lipstick Superstay Velvety Matte Ink 50 Voyager Liquid 5ml,"1,637",8,587,4,"2,224",12,0.11%,0.09%,0.08%,0.05%,0.10%,0.08%,"2,237",14,818,5,"3,055",19,0.11%,0.13%,0.09%,0.05%,0.10%,0.09%,2.34%,66.67%,1,0,0.04%,0.00%,£7.99,£0.00,1,0,0,0,0.00%,0.00%,£6.66,£0.00,1,0,1,0
B07418W6DN,B07418W6DN,RefectoCil Saline Solution 150ml,3,0,4,0,7,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5,0,4,0,9,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,1,14.29%,0.00%,£12.98,£12.98,1,1,0,0,0.00%,0.00%,£10.82,£10.82,1,1,1,1
B0G6VRMSWW,B0742BC3GL,"Rimmel Scandal Eyes Waterproof Eyeliner, Blue, 1.3 g Pencil",108,0,55,0,163,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,129,0,65,0,194,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,2.15%,0.00%,1,0,0.61%,0.00%,£3.92,£0.00,1,0,0,0,0.00%,0.00%,£3.73,£0.00,1,0,1,0
B0742CVQW3,B0742CVQW3,"Rimmel London 60 Seconds Super Shine Nail Polish, 905 Girl In Grey, 8 ml, Packaging May Vary",164,1,76,0,240,1,0.01%,0.01%,0.01%,0.00%,0.01%,0.01%,200,5,107,0,307,5,0.01%,0.04%,0.01%,0.00%,0.01%,0.02%,0.71%,0.00%,1,0,0.42%,0.00%,£4.29,£0.00,1,0,0,0,0.00%,0.00%,£3.57,£0.00,1,0,1,0
B074WCJDCG,B074WCJDCG,VICTORIA VYNN GEL POLISH NO. 100 SMOKY PLUM,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,0.00%,0.00%,£8.99,£0.00,1,0,0,0,0.00%,0.00%,£7.49,£0.00,1,0,1,0
B075FYXVH7,B075FYXVH7,2 x Max Factor Lasting Performance Touch Proof Foundation 35ml - 102 Pastelle,7,0,8,0,15,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7,0,11,0,18,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,31.25%,0.00%,1,0,6.67%,0.00%,£15.80,£0.00,1,0,0,0,0.00%,0.00%,£13.17,£0.00,1,0,1,0
B0CDP9V9MK,B075QLKM4T,VICTORIA VYNN BUILD GEL UV/LED 50ML No.02 extremely white,9,0,1,0,10,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10,0,1,0,11,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,90.91%,0.00%,1,0,10.00%,0.00%,£19.99,£0.00,1,0,0,0,0.00%,0.00%,£16.66,£0.00,1,0,1,0
B0CDP9V9MK,B075QM6LMT,VICTORIA VYNN BUILD GEL UV/LED 50ML No.07 light pink rose,106,3,28,6,134,9,0.01%,0.04%,0.00%,0.08%,0.01%,0.06%,132,5,38,10,170,15,0.01%,0.04%,0.00%,0.10%,0.01%,0.07%,10.18%,35.71%,1,1,0.75%,11.11%,£15.52,£15.52,1,1,0,0,0.00%,0.00%,£12.93,£0.00,1,0,1,0
B0D8HKVCT7,B075RBW1TC,Joanna Professional Hair Dye Oxidant 9% – Cream Developer – Creamy Consistency – Blonding & Dyeing – 1000 g,2,0,3,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,3,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,60.00%,0.00%,1,0,20.00%,0.00%,£9.38,£0.00,1,0,0,0,0.00%,0.00%,£7.82,£0.00,1,0,1,0
B075S7TMS2,B075S7TMS2,Joanna Professional Silk Protein Hair Conditioner – Smoothing Hair Products with Silk Proteins – Hydrolyzed Liquid Silk Protein for Hair Growth – Professional Hair Products - 1000 g,14,0,9,0,23,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19,0,13,0,32,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,61.29%,0.00%,1,0,4.35%,0.00%,£9.99,£0.00,1,0,0,0,0.00%,0.00%,£8.32,£0.00,1,0,1,0
B075SDGN2C,B075SDGN2C,Joanna Professional Silk Protein Hair Shampoo – Smoothing Hair Products with Silk Proteins – Hydrolyzed Liquid Silk Protein for Hair Growth – Professional Hair Products - 1000 ml,12,0,5,1,17,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,17,0,8,1,25,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,36.36%,0.00%,1,0,5.88%,0.00%,£9.25,£0.00,1,0,0,0,0.00%,0.00%,£7.71,£0.00,1,0,1,0
B0GQ2YVZH6,B075TDZJBP,"Joanna Professional CleanPro Complex Cleansing Hair Products – Deep Cleansing Shampoo – Removes All Dirt, Sebum, and Styling Products – Leaves Hair Fresh – Contains CleanPro Complex – 1000 ml",6,0,2,0,8,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15,0,2,0,17,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15.38%,0.00%,1,0,12.50%,0.00%,£14.49,£0.00,1,0,0,0,0.00%,0.00%,£12.07,£0.00,1,0,1,0
B075V6RXVG,B075V6RXVG,Joanna Professional UV Filter Hair Conditioner – Professional UV Protection Hair Care Products – Ripe Cherries Scent – Color-Safe Hair Products – Heat UV Protectant for Women - 1000 g,3,0,0,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3,0,0,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,1,0,33.33%,0.00%,£9.99,£0.00,1,0,0,0,0.00%,0.00%,£8.32,£0.00,1,0,1,0
B076568LXJ,B076568LXJ,Joanna Naturia Color Hair Dye Covers Gray Hair - 238 Frosty Brown,26,0,9,1,35,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,31,0,15,3,46,3,0.00%,0.00%,0.00%,0.03%,0.00%,0.01%,30.95%,0.00%,1,0,2.86%,0.00%,£5.95,£0.00,1,0,0,0,0.00%,0.00%,£4.96,£0.00,1,0,1,0
B07656DGXK,B07656DGXK,Joanna Naturia Color Permanent Hair Color Cream – Goodness of Milk Proteins and Peach Extracts – Premium-Quality Hair Dye – Provides Soft and Lustrous Hair – Long-Lasting Hair Colors – Noble Pearl,3,0,3,0,6,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5,0,6,0,11,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,90.00%,0.00%,3,0,50.00%,0.00%,£17.55,£0.00,1,0,0,0,0.00%,0.00%,£14.61,£0.00,3,0,1,0
B0C5ZV25C4,B0774ZNSGP,"SALLY HANSEN - Insta-Dri Nail Color, Midnight Drive - 0.31 fl. oz. (9.17 ml)",22,0,14,0,36,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,30,0,16,0,46,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13.64%,0.00%,1,0,2.78%,0.00%,£9.99,£0.00,1,0,0,0,0.00%,0.00%,£8.32,£0.00,1,0,1,0
B08PQZYLY9,B077L45Y23,"Bourjois Little Round Pot Blusher 85 Sienne, 2.5g",453,2,260,5,713,7,0.03%,0.02%,0.04%,0.07%,0.03%,0.04%,581,2,324,7,905,9,0.03%,0.02%,0.03%,0.07%,0.03%,0.04%,0.22%,0.00%,1,0,0.14%,0.00%,£7.49,£0.00,1,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0H9NL8NCX,B077TS4P1K,"Facefinity Refillable Compact Foundation, SPF 20, Flawless Matte Finish in Natural Rose 003","4,406",21,"1,712",61,"6,118",82,0.28%,0.25%,0.24%,0.83%,0.27%,0.52%,"5,767",28,"2,404",94,"8,171",122,0.28%,0.25%,0.25%,0.93%,0.27%,0.57%,0.06%,0.00%,1,0,0.02%,0.00%,£9.99,£0.00,1,0,0,0,0.00%,0.00%,£8.32,£0.00,1,0,1,0
B0784GFK1F,B0784GFK1F,"Rimmel Super Gel, 54 Trust You, Long-Lasting Nail Polish, Glazed Finish, Easy Application, Gel-like Manicure, Chip Resistant, Clean Formula, 12ml",185,1,85,0,270,1,0.01%,0.01%,0.01%,0.00%,0.01%,0.01%,228,1,104,0,332,1,0.01%,0.01%,0.01%,0.00%,0.01%,0.00%,4.81%,100.00%,1,0,0.37%,0.00%,£5.59,£0.00,1,0,0,0,0.00%,0.00%,£4.66,£0.00,1,0,1,0
B0H6R42TK5,B078STX8H5,"Rimmel Super Gel, 71 Gilty Pleasure, Long-Lasting Nail Polish, Glazed Finish, Easy Application, Gel-like Manicure, Chip Resistant, Clean Formula, 12ml",693,2,204,2,897,4,0.04%,0.02%,0.03%,0.03%,0.04%,0.03%,786,2,234,6,"1,020",8,0.04%,0.02%,0.02%,0.06%,0.03%,0.04%,1.86%,0.00%,1,0,0.11%,0.00%,£6.95,£0.00,1,0,0,0,0.00%,0.00%,£5.79,£0.00,1,0,1,0
B088CLHPQQ,B079G93QLP,"Sally Hansen Insta-Dri 1 Stroke-1 Coat-Done Nail Polish, 9.17ml, Va Va Violet",429,3,152,0,581,3,0.03%,0.04%,0.02%,0.00%,0.03%,0.02%,496,3,192,0,688,3,0.02%,0.03%,0.02%,0.00%,0.02%,0.01%,2.39%,0.00%,1,0,0.17%,0.00%,£4.45,£0.00,1,0,0,0,0.00%,0.00%,£3.71,£0.00,1,0,1,0
B01KLXGHPW,B07BC56R29,"Bourjois 1 Seconde Nail Polish, 9 ml, Red Dingue",14,0,8,0,22,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,17,0,11,0,28,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,42.86%,0.00%,1,0,4.55%,0.00%,£6.95,£0.00,1,0,0,0,0.00%,0.00%,£5.79,£0.00,1,0,1,0
B01KLXGHPW,B07C89CV5F,Bourjois Nail Polish 1 Seconde 8 Chérie Cherry,28,0,25,1,53,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,36,0,33,1,69,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,35.29%,100.00%,1,0,1.89%,0.00%,£7.99,£0.00,1,0,0,0,0.00%,0.00%,£6.66,£0.00,1,0,1,0
B0GWRHSY83,B07CP479YB,WoodWick Large Hourglass Scented Candle | Island Coconut | with Crackling Wick | Burn Time: up to 130 Hours,1,0,3,0,4,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,3,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,1,0,25.00%,0.00%,£27.99,£0.00,1,0,0,0,0.00%,0.00%,£23.32,£0.00,1,0,1,0
B07CQKHVQN,B07CQKHVQN,2 x Max Factor Colour Elixir Honey Lacquer Lip Gloss 3.8ml - Floral Ruby,1,0,1,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,1,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,50.00%,0.00%,£12.97,£0.00,1,0,0,0,0.00%,0.00%,£10.81,£0.00,1,0,1,0
B07CZ25FCL,B07CZ25FCL,2 x Max Factor Lasting Performance Touch Proof Foundation 35ml - 108 Honey Beige,8,0,7,0,15,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8,0,7,0,15,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13.33%,0.00%,1,0,6.67%,0.00%,£14.95,£0.00,1,0,0,0,0.00%,0.00%,£12.46,£0.00,1,0,1,0
B0CG1M5Z39,B07D7BVFH1,"RIMMEL Blushes, 3614226985873 Blush",86,1,23,0,109,1,0.01%,0.01%,0.00%,0.00%,0.00%,0.01%,105,1,30,0,135,1,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,8.73%,0.00%,1,0,0.92%,0.00%,£9.99,£0.00,1,0,0,0,0.00%,0.00%,£8.32,£0.00,1,0,1,0
B0H3JJJG2P,B07D7JKFDH,"Rimmel London Maxi Blush Powder, Wild Card, Long Lasting Pigmented Colour, Light Weight Formula, Easy To Blend and Buildable, 9g","2,128",16,"1,024",9,"3,152",25,0.14%,0.19%,0.14%,0.12%,0.14%,0.16%,"2,684",21,"1,294",10,"3,978",31,0.13%,0.19%,0.14%,0.10%,0.13%,0.15%,0.03%,0.00%,1,0,0.03%,0.00%,£5.58,£0.00,1,0,0,0,0.00%,0.00%,£4.65,£0.00,1,0,1,0
B0H3K6RZLY,B07D7M5T4V,L'Oréal Paris Infallible Liquid Foundation Full Coverage 260 Golden,982,3,396,7,"1,378",10,0.06%,0.04%,0.05%,0.10%,0.06%,0.06%,"1,315",4,534,7,"1,849",11,0.06%,0.04%,0.06%,0.07%,0.06%,0.05%,0.06%,0.00%,1,0,0.07%,0.00%,£15.95,£0.00,1,0,0,0,0.00%,0.00%,£13.29,£0.00,1,0,1,0
B07DZW6HF9,B07DZW6HF9,Rimmel London Magnif Eyes Contouring Palette - 009 Jewel Rocks For Women 0.5 oz Eye Shadow,308,2,165,1,473,3,0.02%,0.02%,0.02%,0.01%,0.02%,0.02%,386,2,208,1,594,3,0.02%,0.02%,0.02%,0.01%,0.02%,0.01%,4.69%,0.00%,1,0,0.21%,0.00%,£5.58,£0.00,1,0,0,0,0.00%,0.00%,£4.65,£0.00,1,0,1,0
B08Q57MLC6,B07FX9YMTD,Max Factor Masterpiece Nude Palette Contouring Eye Shadows -6.5G|2 Golden Nudes,11,0,7,0,18,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20,0,8,0,28,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,67.86%,0.00%,1,0,5.56%,0.00%,£12.79,£0.00,1,0,0,0,0.00%,0.00%,£10.66,£0.00,1,0,1,0
B07GZGM59Q,B07GZGM59Q,"Bourjois Brow Reveal Pencil 1 Chestnut, .35g",14,0,13,0,27,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,17,0,24,0,41,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,35.29%,0.00%,2,0,7.41%,0.00%,£10.96,£0.00,1,0,0,0,0.00%,0.00%,£9.12,£0.00,2,0,1,0
B0FXXRNT5S,B07HR4CGQH,L.A. Girl Pro Conceal HD High Definition Concealer Iridescent 8g,7,0,5,0,12,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7,0,5,0,12,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,1,0,8.33%,0.00%,£5.27,£0.00,1,0,0,0,0.00%,0.00%,£4.39,£0.00,1,0,1,0
B07JPBDQ6V,B07JPBDQ6V,"Sally Hansen Miracle Gel, Satel-Lite Pink, Gel-Like Nail Polish, NO UV Light Required, Chip-Resistant, Long Lasting - Up to 8 days, Easy to Use, Salon Quality Results, Vegan Formula, 14.7ml",52,0,43,2,95,2,0.00%,0.00%,0.01%,0.03%,0.00%,0.01%,64,0,49,2,113,2,0.00%,0.00%,0.01%,0.02%,0.00%,0.01%,15.45%,100.00%,1,0,1.05%,0.00%,£9.99,£0.00,1,0,0,0,0.00%,0.00%,£8.32,£0.00,1,0,1,0
B0DQ8NY7KC,B07K48W24X,Victoria Vynn Rubber Mega Base Cold Pink 8 ml – Self-Levelling Soak-Off UV/LED Gel Polish Base Coat,373,2,90,5,463,7,0.02%,0.02%,0.01%,0.07%,0.02%,0.04%,519,2,141,10,660,12,0.03%,0.02%,0.01%,0.10%,0.02%,0.06%,1.74%,0.00%,1,0,0.22%,0.00%,£7.48,£0.00,1,0,0,0,0.00%,0.00%,£6.23,£0.00,1,0,1,0
B07LB3LK5K,B07LB3LK5K,Technic Mega Lash Mega Curl Mascara,49,0,30,1,79,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,66,0,38,1,104,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,1.06%,100.00%,1,1,1.27%,100.00%,£2.95,£2.95,1,1,0,0,0.00%,0.00%,£2.46,£2.46,1,1,1,1
B07LG75WQG,B07LG75WQG,Victoria Vynn Nail REMOVER SOAK OFF MANICURE 1000ml,8,0,2,0,10,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10,0,2,0,12,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.00%,0.00%,1,0,10.00%,0.00%,£16.49,£0.00,1,0,0,0,0.00%,0.00%,£13.74,£0.00,1,0,1,0
B0D7NSCY4B,B07MRGRV2Y,Rimmel Provocalips 570,253,4,99,3,352,7,0.02%,0.05%,0.01%,0.04%,0.02%,0.04%,331,4,127,3,458,7,0.02%,0.04%,0.01%,0.03%,0.02%,0.03%,0.89%,0.00%,1,0,0.28%,0.00%,£6.49,£0.00,1,0,0,0,0.00%,0.00%,£5.41,£0.00,1,0,1,0
B07MTKVHW3,B07MTKVHW3,Victoria Vynn UV Led Nail Gel Polish Color Pastel Hybrid Manicure Soak Off 8ml Pink Twice 198,3,0,0,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7,0,0,0,7,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,1,0,33.33%,0.00%,£9.99,£0.00,1,0,0,0,0.00%,0.00%,£8.32,£0.00,1,0,1,0
B0HCDPC9ML,B07N83YBXG,WoodWick | Large Candle | Spiced BlackBerry | Great Gift for Women,65,1,27,0,92,1,0.00%,0.01%,0.00%,0.00%,0.00%,0.01%,85,1,30,0,115,1,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,23.21%,100.00%,1,0,1.09%,0.00%,£28.15,£0.00,1,0,0,0,0.00%,0.00%,£23.46,£0.00,1,0,1,0
B097QPWLHM,B07NBQ6VKW,Rimmel - Wow Wing Mascara 001 Black wp 12 ml (Pack of 1),100,0,40,0,140,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,116,0,48,0,164,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,8.07%,0.00%,1,0,0.71%,0.00%,£5.45,£0.00,1,0,0,0,0.00%,0.00%,£4.54,£0.00,1,0,1,0
B07P48PJJG,B07P48PJJG,"Rimmel 60 Seconds Super-Shine Nail Polish, 709 Topless, 8 ml",92,0,69,1,161,1,0.01%,0.00%,0.01%,0.01%,0.01%,0.01%,132,0,103,2,235,2,0.01%,0.00%,0.01%,0.02%,0.01%,0.01%,1.38%,0.00%,1,0,0.62%,0.00%,£4.48,£0.00,1,0,0,0,0.00%,0.00%,£3.73,£0.00,1,0,1,0
B07PZ934TF,B07PYSS7YB,Stargazer Yummy Colour 4 Shade Semi-Permanent Hair Dye Strips Kit - Pastel,93,0,23,0,116,0,0.01%,0.00%,0.00%,0.00%,0.01%,0.00%,115,0,28,0,143,0,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,18.84%,0.00%,1,0,0.86%,0.00%,£5.25,£0.00,1,0,0,0,0.00%,0.00%,£4.37,£0.00,1,0,1,0
B07QL7DZFQ,B07QL7DZFQ,"Rimmel Wonder'Luxe Volume Mascara Brown, Black, 11 ml",138,0,80,2,218,2,0.01%,0.00%,0.01%,0.03%,0.01%,0.01%,169,0,109,3,278,3,0.01%,0.00%,0.01%,0.03%,0.01%,0.01%,1.16%,0.00%,1,0,0.46%,0.00%,£6.79,£0.00,1,0,0,0,0.00%,0.00%,£5.66,£0.00,1,0,1,0
B07QNVS3SY,B07QNVS3SY,Rimmel 60 Sec Colour Block 710,232,0,113,0,345,0,0.01%,0.00%,0.02%,0.00%,0.02%,0.00%,292,0,149,0,441,0,0.01%,0.00%,0.02%,0.00%,0.01%,0.00%,4.18%,0.00%,1,0,0.29%,0.00%,£4.11,£0.00,1,0,0,0,0.00%,0.00%,£3.42,£0.00,1,0,1,0
B0GXFBNYFB,B07TM2XNQN,"Max Factor Facefinity 3-in-1 All Day Flawless Liquid Foundation, SPF 20 - 90 Amber, 30 ml",107,2,67,2,174,4,0.01%,0.02%,0.01%,0.03%,0.01%,0.03%,127,2,80,2,207,4,0.01%,0.02%,0.01%,0.02%,0.01%,0.02%,15.69%,0.00%,1,0,0.57%,0.00%,£9.99,£0.00,1,0,0,0,0.00%,0.00%,£8.32,£0.00,1,0,1,0
B07TXW55HQ,B07TXW55HQ,Victoria Vynn REMOVER SOAK OFF MANICURE 150ml,2,0,1,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,1,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,1,0,33.33%,0.00%,£7.05,£0.00,1,0,0,0,0.00%,0.00%,£6.71,£0.00,1,0,1,0
B01M0PU853,B07V6TQJH1,"MAX FACTOR 33700001070 Beauty Care Colour Elixir 070 for adults, designed for daily beauty and care",174,0,138,1,312,1,0.01%,0.00%,0.02%,0.01%,0.01%,0.01%,204,0,178,2,382,2,0.01%,0.00%,0.02%,0.02%,0.01%,0.01%,6.02%,0.00%,1,0,0.32%,0.00%,£9.99,£0.00,1,0,0,0,0.00%,0.00%,£8.32,£0.00,1,0,1,0
B0CLNVN54C,B07V6TVSFL,Max Factor Lash Revival Strengthening Mascara with Bamboo Extract Shade Black 001,172,0,105,4,277,4,0.01%,0.00%,0.01%,0.05%,0.01%,0.03%,230,0,166,9,396,9,0.01%,0.00%,0.02%,0.09%,0.01%,0.04%,0.00%,0.00%,1,0,0.36%,0.00%,£6.49,£0.00,1,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B01M0PU853,B07V6TZ4SW,Max Factor Colour Elixir Lipstick with Vitamin E Shade Rich Toffee 045,285,0,146,1,431,1,0.02%,0.00%,0.02%,0.01%,0.02%,0.01%,319,0,159,1,478,1,0.02%,0.00%,0.02%,0.01%,0.02%,0.00%,33.97%,100.00%,1,0,0.23%,0.00%,£8.39,£0.00,1,0,0,0,0.00%,0.00%,£6.99,£0.00,1,0,1,0
B01M0PU853,B07V7Y5B6G,"MAX FACTOR 33700001055 Beauty Care Colour Elixir 055 - Bewitching Coral for adults, ideal for daily beauty and care",498,1,318,3,816,4,0.03%,0.01%,0.04%,0.04%,0.04%,0.03%,680,1,399,3,"1,079",4,0.03%,0.01%,0.04%,0.03%,0.04%,0.02%,0.28%,0.00%,1,0,0.12%,0.00%,£6.98,£0.00,1,0,0,0,0.00%,0.00%,£5.82,£0.00,1,0,1,0
B07VNYHPR8,B07VNYHPR8,ODYSSEY HOMME EDP 100 ML (NEW RELEASE),209,1,96,4,305,5,0.01%,0.01%,0.01%,0.05%,0.01%,0.03%,288,1,131,6,419,7,0.01%,0.01%,0.01%,0.06%,0.01%,0.03%,2.37%,0.00%,1,0,0.33%,0.00%,£27.50,£0.00,1,0,0,0,0.00%,0.00%,£22.92,£0.00,1,0,1,0
B0DPFZX9TW,B07W8X5QFH,"BOURJOIS 29185139002 Beauty Care Brow Fiber 002 for Adults, Designed for Daily Beauty and Care",6,0,0,0,6,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6,0,0,0,6,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,83.33%,0.00%,1,0,16.67%,0.00%,£9.99,£0.00,1,0,0,0,0.00%,0.00%,£8.32,£0.00,1,0,1,0
B07WWF6TCJ,B07WWF6TCJ,MARION Hair Spray For Easy Combing - 120ml,3,0,4,0,7,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4,0,4,0,8,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,28.57%,0.00%,1,0,14.29%,0.00%,£9.99,£0.00,1,0,0,0,0.00%,0.00%,£8.32,£0.00,1,0,1,0
B07ZFVJG2S,B07ZFVJG2S,Victoria Vynn Gel Polish Carat Coral Diamond 230 8ml,3,0,1,0,4,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6,0,1,0,7,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,1,0,25.00%,0.00%,£8.99,£0.00,1,0,0,0,0.00%,0.00%,£7.49,£0.00,1,0,1,0
B0GR1K65GN,B081SWGNVM,"Rimmel 60 Seconds Super-Shine Nail Polish, Yolo 561, 8 ml","1,659",10,699,3,"2,358",13,0.11%,0.12%,0.10%,0.04%,0.10%,0.08%,"1,808",11,799,3,"2,607",14,0.09%,0.10%,0.08%,0.03%,0.09%,0.07%,1.05%,0.00%,1,0,0.04%,0.00%,£3.92,£0.00,1,0,0,0,0.00%,0.00%,£3.73,£0.00,1,0,1,0
B0849DZ4VQ,B082YB9G8K,"Stargazer Neon UV-Reactive Wash Out Hair Colour, Super Vibrant Colour, Yellow",1,0,1,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,1,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,1,0,50.00%,0.00%,£7.96,£0.00,1,0,0,0,0.00%,0.00%,£6.63,£0.00,1,0,1,0
B083G1Y5PH,B083G1Y5PH,Victoria Vynn Master Gel UV LED Modeling Gel Acrylic Builder 06 COVER NUDE 60ml,31,0,10,2,41,2,0.00%,0.00%,0.00%,0.03%,0.00%,0.01%,43,0,12,2,55,2,0.00%,0.00%,0.00%,0.02%,0.00%,0.01%,3.70%,0.00%,1,0,2.44%,0.00%,£21.97,£0.00,1,0,0,0,0.00%,0.00%,£18.31,£0.00,1,0,1,0
B084453PQ3,B083T3GDCS,"WAX LYRICAL Reed Diffuser 40ml, Lemon Verbena, Yellow",298,0,172,1,470,1,0.02%,0.00%,0.02%,0.01%,0.02%,0.01%,348,0,212,1,560,1,0.02%,0.00%,0.02%,0.01%,0.02%,0.00%,1.33%,0.00%,1,0,0.21%,0.00%,£7.99,£0.00,1,0,0,0,0.00%,0.00%,£6.66,£0.00,1,0,1,0
