(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B01M3NY71U,B01M3NY71U,W7 | Blusher | Duo Blusher DB2,W7-DUO-BLUSHER-02,4,0,5,0,9,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4,0,6,0,10,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,55.56%,0.00%,1,0,11.11%,0.00%,£5.88,£0.00,1,0
B01M9INQUA,B01M9INQUA,"Elizabeth Arden Eight Hour Miracle Hydrating Mist Spray, 100 ml (Pack of 1)",ELIZARDEN-8H-MIRACLE-HYDRA-MIST-100ML,414,4,197,2,611,6,0.04%,0.08%,0.05%,0.05%,0.04%,0.06%,480,4,229,2,709,6,0.04%,0.06%,0.04%,0.03%,0.04%,0.05%,0.00%,0.00%,1,0,0.16%,0.00%,£21.00,£0.00,1,0
B07Q5BPWM7,B01MA1OAL1,Yankee Candle Car Jar Scented Air Freshener | Clean Cotton | 3 Count,YANKEE-CLEAN-COTTON-CAR-AF-3PK,173,0,54,2,227,2,0.02%,0.00%,0.01%,0.05%,0.02%,0.02%,202,0,61,2,263,2,0.02%,0.00%,0.01%,0.03%,0.01%,0.02%,0.00%,0.00%,2,0,0.88%,0.00%,£12.22,£0.00,1,0
B0BVGHSL7B,B01MA35R47,"L.A. Girl Pro Coverage Liquid Foundation, GLM643 Porcelain, 0.95 Fluid Ounce",LAGIRL-HD-FDT-643,17,0,18,0,35,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20,0,24,0,44,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,29.27%,0.00%,1,0,2.86%,0.00%,£12.97,£0.00,1,0
B0BXS352Y4,B01MTNZCXZ,Marion Hair Color Shampoo in Sachet Lasting 4 to 8 Washes Aloe and Keratin - 95 Medium Chestnut,MARION-COLOR-SHAMP-95,597,4,277,2,874,6,0.06%,0.08%,0.07%,0.05%,0.06%,0.06%,813,5,403,2,"1,216",7,0.06%,0.07%,0.07%,0.03%,0.07%,0.06%,19.10%,0.00%,5,0,0.57%,0.00%,£14.95,£0.00,1,0
B01MTUCWXC,B01MTUCWXC,Technic Mega Lash Black,TECHNIC-MEGA-LASH-BLK-V2,26,0,13,0,39,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,40,0,18,0,58,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,5.13%,0.00%,£7.68,£0.00,1,0
B01MY0VGTE,B01MY0VGTE,"Rimmel Extra Long Lash Mascara, Extreme Black, 8ml",RIM-MSC-ELL-003_PRIME,"1,416",10,461,2,"1,877",12,0.15%,0.19%,0.11%,0.05%,0.14%,0.13%,"1,742",11,565,2,"2,307",13,0.14%,0.16%,0.10%,0.03%,0.13%,0.10%,62.11%,0.00%,1,0,0.05%,0.00%,£4.60,£0.00,1,0
B08695LD7J,B01N1UVBOI,Maybelline Fit Me Matte & Poreless Foundation 320 Natural Tan 30ml,MAYB-MAPF-320,121,0,54,0,175,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,138,0,64,0,202,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,2.50%,0.00%,1,0,0.57%,0.00%,£7.49,£0.00,1,0
B01N3LSW4V,B01N3LSW4V,Technic Mega Nudes Eyeshadow Palette With Applicator by Technic,TECHNIC-MEGA-PAL-NUDES,61,1,35,0,96,1,0.01%,0.02%,0.01%,0.00%,0.01%,0.01%,84,1,49,0,133,1,0.01%,0.01%,0.01%,0.00%,0.01%,0.01%,11.38%,0.00%,1,0,1.04%,0.00%,£3.99,£0.00,1,0
B0G3WMZ4P2,B01N5MGVM6,"Rimmel Moisture Renew Lipstick, Nude Shock",RIM-MOIST-LPK-100,4,0,9,0,13,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5,0,14,0,19,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,89.47%,0.00%,1,0,7.69%,0.00%,£7.95,£0.00,1,0
