(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B085V3JS5R,B01JOKXDA0,"Sally Hansen Colour Therapy Nail Polish with Argan Oil, 14.7 ml, Rosy Glow",SH-COLORTHERAPY-250,101,1,45,1,146,2,0.01%,0.02%,0.01%,0.02%,0.01%,0.02%,123,1,64,1,187,2,0.01%,0.01%,0.01%,0.02%,0.01%,0.02%,16.94%,0.00%,3,0,2.05%,0.00%,£23.85,£0.00,3,0
B0C8BWNSWS,B01LTHKU3O,Rimmel London Soft Kohl Kajal Eye Pencil #064 -Grey 1 Unit 200g,RIM-ELP-064-V2,192,0,119,0,311,0,0.02%,0.00%,0.03%,0.00%,0.02%,0.00%,255,0,154,0,409,0,0.02%,0.00%,0.03%,0.00%,0.02%,0.00%,1.60%,0.00%,3,0,0.96%,0.00%,£8.82,£0.00,3,0
B0CLHD2M9Z,B01LW762JK,Revlon Super Lustrous Crème Lipstick 4.2g - 750 Kiss Me Coral,REV-SLL-750-V4,34,1,10,0,44,1,0.00%,0.02%,0.00%,0.00%,0.00%,0.01%,36,1,11,0,47,1,0.00%,0.01%,0.00%,0.00%,0.00%,0.01%,56.52%,0.00%,14,0,31.82%,0.00%,£93.20,£0.00,3,0
B0BXS352Y4,B01NBPEKGZ,Marion Hair Color Shampoo in Sachet Lasting 4-8 Washes - 69 – Platinum Blonde,MARION-COLOR-SHAMP-69_SNL,241,2,125,0,366,2,0.03%,0.04%,0.03%,0.00%,0.03%,0.02%,288,2,155,0,443,2,0.02%,0.03%,0.03%,0.00%,0.02%,0.02%,6.53%,0.00%,3,0,0.82%,0.00%,£9.15,£0.00,3,0
B0H6R42TK5,B06WGV4PBF,"Rimmel Super Gel, 26 Sun Fun Daze, Long-Lasting Nail Polish, Glazed Finish, Easy Application, Gel-like Manicure, Chip Resistant, Clean Formula, 12ml",RIM-NAIL-SUPERGEL-026,"1,613",10,535,6,"2,148",16,0.17%,0.19%,0.13%,0.15%,0.16%,0.17%,"1,947",13,718,9,"2,665",22,0.16%,0.19%,0.13%,0.16%,0.15%,0.17%,1.00%,0.00%,3,0,0.14%,0.00%,£14.32,£0.00,3,0
B0BXS352Y4,B06Y1W2LQ6,Marion Hair Dye Shampoo Bag Semi-Permanent Colour 4 to 8 Washes with Aloe and Keratin,MARION-COLOR-SHAMP-65,251,1,142,1,393,2,0.03%,0.02%,0.03%,0.02%,0.03%,0.02%,325,1,167,1,492,2,0.03%,0.01%,0.03%,0.02%,0.03%,0.02%,29.96%,50.00%,4,0,1.02%,0.00%,£11.92,£0.00,3,0
B0H3JTBTGJ,B0716F8272,"Rimmel London Radiance Shimmer Brick Pressed Bronzer, Light-As-Air Contouring Formula, 001 Light, 12 g",RIM-RADBRICK-001_SNL,"1,243",9,339,3,"1,582",12,0.13%,0.17%,0.08%,0.07%,0.11%,0.13%,"1,534",12,474,3,"2,008",15,0.12%,0.17%,0.08%,0.05%,0.11%,0.12%,1.07%,33.33%,3,1,0.19%,8.33%,£15.14,£4.94,3,1
B07H8T68MM,B071F2S2WP,"Bourjois 2-in-1 Khôl and Contour Eyeliner and Eye Pencil 1 Noir-Issime, 1.2g",BJS-KCELP-001_SNL,68,0,47,0,115,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,81,0,64,0,145,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,9.42%,0.00%,9,0,7.83%,0.00%,£35.26,£0.00,3,0
B0C5F367WN,B073P9Z8D6,"Bourjois Rouge Velvet The Lipstick Bullet Lipstick 11 Berry Formidable Reds, 2.4g, 29166438011",BJS-RGLIPSTICK-11,124,0,108,1,232,1,0.01%,0.00%,0.03%,0.02%,0.02%,0.01%,174,0,163,1,337,1,0.01%,0.00%,0.03%,0.02%,0.02%,0.01%,12.28%,0.00%,3,0,1.29%,0.00%,£26.97,£0.00,3,0
B0752Z165N,B0752Z165N,"VICTORIA VYNN Nail Oil Care, 9ml - 5 Oils Complex for Nails & Cuticles - Natural Nourishment and Regeneration - Macadamia, Argan, Sweet Almond, Avocado, Jojoba",VICVYNN-5OILS-NOURISHING_SNL,11,0,6,0,17,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13,0,6,0,19,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,52.94%,0.00%,4,1,23.53%,0.00%,£33.81,£7.88,3,1
B08R4Y54Z5,B07C5946Q3,"Rimmel London Brow This Way Fill & Sculpt Eyebrow Definer, Pack of 1",RIM-BTW-F&S-002_PRIME,"1,536",11,603,7,"2,139",18,0.16%,0.21%,0.14%,0.17%,0.15%,0.19%,"2,082",15,785,9,"2,867",24,0.17%,0.22%,0.14%,0.16%,0.16%,0.19%,0.19%,0.00%,3,0,0.14%,0.00%,£19.41,£0.00,3,0
B084S2DY49,B07CNTHPGZ,"Maybelline New York Concealer, Instant Anti-Age Effect Concealer, Eraser with Micro Eraser Applicator, No. 00 Ivory, 6.8 ml",MAYB-IAA-00_SNL,50,1,28,0,78,1,0.01%,0.02%,0.01%,0.00%,0.01%,0.01%,64,1,30,0,94,1,0.01%,0.01%,0.01%,0.00%,0.01%,0.01%,38.30%,100.00%,3,0,3.85%,0.00%,£25.95,£0.00,3,0
B07DSWJLJ1,B07DSWJLJ1,"L'Oreal Paris Foundation, Infallible 32H Fresh Wear Foundation, longwear coverage, Radiant finish, Water, Sweat and Heat Resistant, Shade 125 Natural Beige, 9g",LOREAL-INFB-32H-FDT-30ML-125,"1,114",4,357,2,"1,471",6,0.12%,0.08%,0.08%,0.05%,0.11%,0.06%,"1,582",4,477,2,"2,059",6,0.13%,0.06%,0.08%,0.03%,0.11%,0.05%,0.15%,0.00%,3,0,0.20%,0.00%,£47.85,£0.00,3,0
B0HD97PH8G,B07HRXMB73,Victoria Vynn Nail Builder Gel 15ml UV LED 05 Cover Peach,VICVYNN-BUILDGEL-15ML-05,54,0,20,1,74,1,0.01%,0.00%,0.00%,0.02%,0.01%,0.01%,74,0,31,1,105,1,0.01%,0.00%,0.01%,0.02%,0.01%,0.01%,7.07%,0.00%,3,0,4.05%,0.00%,£23.85,£0.00,3,0
B0BXHJFWKY,B07KGT94LB,Maybelline Gel Pencil Liner Tattoo Eye Liner Waterproof Shade: Deep Onyx,MAYB-TLG-900_SNL,"2,600",16,"1,188",21,"3,788",37,0.27%,0.30%,0.28%,0.51%,0.27%,0.39%,"3,677",23,"1,632",28,"5,309",51,0.29%,0.33%,0.29%,0.49%,0.29%,0.40%,0.06%,0.00%,3,0,0.08%,0.00%,£21.61,£0.00,3,0
B07NTKFR58,B07NTKFR58,Rimmel 60 Seconds Super Shine Colour Block Nail Polish - Ultra Shine and Long Lasting - Quick Drying,RIM-NAIL-60S-711,170,1,136,2,306,3,0.02%,0.02%,0.03%,0.05%,0.02%,0.03%,221,1,187,2,408,3,0.02%,0.01%,0.03%,0.03%,0.02%,0.02%,16.84%,0.00%,3,0,0.98%,0.00%,£12.37,£0.00,3,0
B0H4SV53T5,B07P35ZBYS,"Rimmel 60 Seconds Super Shine Nail Polish, 721 Siren, Quick-Dry Nail Polish, Ultra-Shiny Finish, Easy to Apply, Vibrant Colour, Long-Wearing, Improved Formula, Vegan, 8ml",RIM-NAIL-60S-721_PRIME,"3,557",15,"1,351",12,"4,908",27,0.37%,0.28%,0.32%,0.29%,0.36%,0.29%,"4,379",16,"1,744",20,"6,123",36,0.35%,0.23%,0.31%,0.35%,0.34%,0.28%,0.03%,0.00%,3,0,0.06%,0.00%,£14.70,£0.00,3,0
B01M0PU853,B07V8W9V4X,Max Factor Colour Elixir Lipstick with Vitamin E Shade Pink Brandy 050,MF-CELPK-050,792,6,593,4,"1,385",10,0.08%,0.11%,0.14%,0.10%,0.10%,0.11%,961,9,788,9,"1,749",18,0.08%,0.13%,0.14%,0.16%,0.10%,0.14%,0.18%,0.00%,3,0,0.22%,0.00%,£23.79,£0.00,3,0
B0H4SV53T5,B081SVY649,"Rimmel 60 Seconds Super Shine Nail Polish, 410 Wild Spice, Quick-Dry Nail Polish, Ultra-Shiny Finish, Easy to Apply, Vibrant Colour, Long-Wearing, Improved Formula, Vegan, 8ml",RIM-NAIL-60S-410,"4,787",19,"1,618",13,"6,405",32,0.50%,0.36%,0.38%,0.32%,0.46%,0.34%,"5,821",27,"2,126",17,"7,947",44,0.47%,0.39%,0.38%,0.29%,0.44%,0.35%,0.04%,10.71%,3,2,0.05%,6.25%,£13.00,£8.22,3,2
B08RFX7ZJC,B082XSM7PM,"BOURJOIS 29135443004 Beauty Care Little Round Pot Eye Rg Rlaunch 2.5ml 4 20IV for Adults, Made for Daily Beauty and Care, 2.5ml",BJS-EYELITTLEPOT-04,187,0,102,3,289,3,0.02%,0.00%,0.02%,0.07%,0.02%,0.03%,228,0,120,3,348,3,0.02%,0.00%,0.02%,0.05%,0.02%,0.02%,21.97%,100.00%,3,0,1.04%,0.00%,£29.82,£0.00,3,0
B0CM32QXDL,B083VB297D,"Wax Lyrical Fresh Linen, 40ml Reed Diffuser, White",WAXLYRICAL-FRESHLINEN-RD-40ML,892,6,454,22,"1,346",28,0.09%,0.11%,0.11%,0.54%,0.10%,0.30%,"1,188",6,632,32,"1,820",38,0.09%,0.09%,0.11%,0.56%,0.10%,0.30%,0.86%,3.70%,3,0,0.22%,0.00%,£23.85,£0.00,3,0
B084453PQ3,B0843BP86C,"WAX LYRICAL Medium Wax Fill Candle Lemon Verbena. Burn Time Approx 50 Hours Jar ,Silver",WAXLYRICAL-LEMONVERBENA-CANDLE-MEDIUM,65,0,28,0,93,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,80,0,35,0,115,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,18.69%,0.00%,4,0,4.30%,0.00%,£47.96,£0.00,3,0
B0843CF8YM,B0843CF8YM,"Wax Lyrical Reed Diffuser Home Fragrance Refill - English Lavender, 200ml",WAXLYRICAL-ENGLAVENDER-RD-REFILL-200ML,"1,485",12,897,14,"2,382",26,0.15%,0.23%,0.21%,0.34%,0.17%,0.28%,"2,052",18,"1,257",17,"3,309",35,0.16%,0.26%,0.22%,0.29%,0.18%,0.28%,0.14%,0.00%,4,0,0.17%,0.00%,£42.82,£0.00,3,0
B0843CMCNT,B0843CMCNT,Wax Lyrical Fresh Linen Reed Diffuser Refill - 200ml | Uplifting Scent of Freshly Washed Linen | Made in England,WAXLYRICAL-FRESHLINEN-RD-REFILL-200ML,"1,335",10,593,30,"1,928",40,0.14%,0.19%,0.14%,0.73%,0.14%,0.43%,"1,725",13,793,52,"2,518",65,0.14%,0.19%,0.14%,0.90%,0.14%,0.51%,0.09%,1.82%,4,2,0.21%,5.00%,£44.20,£22.10,3,1
B0HBX24WS6,B08CBJP7ZP,Yankee Candle Wax Melts | Vanilla Lime | Up to 8 Hours of Fragrance | 1 Count,YANKEE-VANILLA-LIME-SGN-WAX-MELT,14,0,7,0,21,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19,0,8,0,27,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,61.54%,0.00%,6,0,28.57%,0.00%,£23.94,£0.00,3,0
B0H4YCPBRN,B08CFMTMK6,"Rimmel Lasting Finish 8HR Lip Liner, 90's Nude, Highly Pigmented Formula, Long-Wearing Creamy Colour, Precise Application and Seamless Blend, For Big & Plump Lips, Vegan & Cruelty Free, 1.2g",RIM-LASTLIP-760,"13,921",75,"5,514",37,"19,435",112,1.45%,1.42%,1.31%,0.90%,1.41%,1.19%,"18,393",95,"7,661",52,"26,054",147,1.47%,1.38%,1.36%,0.90%,1.44%,1.16%,5.76%,0.00%,3,0,0.02%,0.00%,£11.37,£0.00,3,0
B0H4YCPBRN,B08CG1GL74,"Rimmel Lasting Finish 8HR Lip Liner, Ms. Mauve, Highly Pigmented Formula, Long-Wearing Creamy Colour, Precise Application and Seamless Blend, For Big & Plump Lips, Vegan & Cruelty Free, 1.2g",RIM-LASTLIP-215_SNL,"2,340",11,970,2,"3,310",13,0.24%,0.21%,0.23%,0.05%,0.24%,0.14%,"2,963",15,"1,257",3,"4,220",18,0.24%,0.22%,0.22%,0.05%,0.23%,0.14%,0.02%,25.00%,3,0,0.09%,0.00%,£15.05,£0.00,3,0
B08GSPFHZ2,B08GSPFHZ2,"7th Heaven Oil Absorb Pore De-clog & StarDust Celestial Pink Opal Peel-Off face mask, 10ml",7H-PINK-OPAL-PEEL-MASK-10ML,8,0,9,0,17,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,17,0,10,0,27,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,96.00%,0.00%,4,0,23.53%,0.00%,£7.96,£0.00,3,0
B0F1MMQVPB,B08LDF9YBS,"Sally Hansen Insta-Dri Nail Polish, Gain Mo-Mint-Um, 60 Seconds Quick Drying, Long Lasting, Streak Free, Shiny Finish, 3-in-1 Formula, Built in Base and Top Coat, 9.17ml",SH-INSTANAIL-510,840,1,235,1,"1,075",2,0.09%,0.02%,0.06%,0.02%,0.08%,0.02%,"1,010",1,293,1,"1,303",2,0.08%,0.01%,0.05%,0.02%,0.07%,0.02%,4.82%,0.00%,3,0,0.28%,0.00%,£14.67,£0.00,3,0
B0CLGWXNPJ,B08PDPK4B1,"Rimmel London Scandaleyes Exaggerate Eye Definer, 001 Intense Black, 0.35g",RIM-SCD-EYE-001_SNL,"8,072",53,"3,017",32,"11,089",85,0.84%,1.00%,0.72%,0.78%,0.80%,0.91%,"10,440",64,"4,141",49,"14,581",113,0.83%,0.93%,0.74%,0.85%,0.80%,0.89%,0.23%,0.00%,3,0,0.03%,0.00%,£14.18,£0.00,3,0
B0CLGWXNPJ,B08PDPK4B1,"Rimmel London Scandaleyes Exaggerate Eye Definer, 001 Intense Black, 0.35g",RIM-SCD-EYE-001,"8,072",53,"3,017",32,"11,089",85,0.84%,1.00%,0.72%,0.78%,0.80%,0.91%,"10,440",64,"4,141",49,"14,581",113,0.83%,0.93%,0.74%,0.85%,0.80%,0.89%,0.23%,0.00%,3,0,0.03%,0.00%,£14.07,£0.00,3,0
B0B519G2QJ,B08XXSYKL1,Maybelline Lifter Lip Gloss Hydrating Plumping Hyaluronic Acid 009 Topaz,MAYB-LIFTERGLOSS-009,694,7,301,6,995,13,0.07%,0.13%,0.07%,0.15%,0.07%,0.14%,989,14,459,9,"1,448",23,0.08%,0.20%,0.08%,0.16%,0.08%,0.18%,0.59%,25.00%,3,1,0.30%,7.69%,£18.87,£6.29,3,1
B08ZM66MYJ,B08ZM66MYJ,Silcare Gel Base One Clear 100g,SILCARE-BASEONE-GEL-100G-CLEAR,17,0,7,0,24,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,29,0,7,0,36,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,32.35%,0.00%,7,0,29.17%,0.00%,£115.43,£0.00,3,0
B0H7K24Q8T,B08ZPFFBGD,"Rimmel Natural Bronzer, Silky-Smooth & Ultra-Fine Bronzing Powder, 002 Sunbronze, 14g",RIM-NATURALBRONZER-002_SNL,"12,091",57,"4,735",45,"16,826",102,1.26%,1.08%,1.12%,1.10%,1.22%,1.09%,"17,314",76,"6,965",63,"24,279",139,1.38%,1.10%,1.24%,1.09%,1.34%,1.10%,0.07%,1.67%,3,0,0.02%,0.00%,£14.85,£0.00,3,0
B0H6R42TK5,B0949GLGVG,"Rimmel Super Gel, 35 Pop Princess Park, Long-Lasting Nail Polish, Glazed Finish, Easy Application, Gel-like Manicure, Chip Resistant, Clean Formula, 12ml",RIM-NAIL-SUPERGEL-035,448,5,161,0,609,5,0.05%,0.09%,0.04%,0.00%,0.04%,0.05%,553,7,198,0,751,7,0.04%,0.10%,0.04%,0.00%,0.04%,0.06%,9.52%,0.00%,3,0,0.49%,0.00%,£17.25,£0.00,3,0
B0BGYQ3NCB,B09JV3Y73G,Rimmel London Kind and Free Clean Nail Polish 8ml 156 Poppy Pop Red,RIM-KF-NAIL-156,285,1,114,3,399,4,0.03%,0.02%,0.03%,0.07%,0.03%,0.04%,334,1,133,3,467,4,0.03%,0.01%,0.02%,0.05%,0.03%,0.03%,2.60%,0.00%,3,0,0.75%,0.00%,£15.98,£0.00,3,0
B0GTDF4WS9,B09N2YGY6Y,"Max Factor Miracle Pure Liquid Foundation, Beige, Full Coverage, Flawless and Radiant Finish, Lightweight Formula, Smudge Resistant, Non Pore-Clogging, Fragrance Free, 35ml",MF-MP-FDT-055,460,1,249,4,709,5,0.05%,0.02%,0.06%,0.10%,0.05%,0.05%,611,1,331,5,942,6,0.05%,0.01%,0.06%,0.09%,0.05%,0.05%,3.78%,0.00%,3,0,0.42%,0.00%,£24.30,£0.00,3,0
B01M0M1D7R,B09N2YT3VN,"Max Factor Crème Puff Pressed Powder, 13 Nouveau Beige, 14g",MF-CP-RLCH-13_SNL,"1,226",4,603,8,"1,829",12,0.13%,0.08%,0.14%,0.20%,0.13%,0.13%,"1,530",4,785,14,"2,315",18,0.12%,0.06%,0.14%,0.24%,0.13%,0.14%,0.09%,0.00%,3,0,0.16%,0.00%,£17.04,£0.00,3,0
B0H3Y2PZTS,B09N4F89WM,"Maybelline Colossal Curl Bounce Mascara, Big Bouncy Curl Volume, Up To 24 Hour Wear, Clump Free, Black",MAYB-MSC-COLOSSAL-CURL-VERYBLK,151,0,87,4,238,4,0.02%,0.00%,0.02%,0.10%,0.02%,0.04%,212,0,103,6,315,6,0.02%,0.00%,0.02%,0.10%,0.02%,0.05%,8.78%,0.00%,3,0,1.26%,0.00%,£24.90,£0.00,3,0
B0BCGW2749,B0BCGW2749,60 Seconds Super Shine #151-tan Lines & Good Times 8 ml,RIM-NAIL-60S-151_PRIME,130,0,73,0,203,0,0.01%,0.00%,0.02%,0.00%,0.01%,0.00%,164,0,80,0,244,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,7.52%,0.00%,3,0,1.48%,0.00%,£20.96,£0.00,3,0
B0BQZ72PR3,B0BQZ72PR3,"ARMAF Club De Nuit Iconic Eau De Parfum, 105ml",ARMAF-CLUBDENUIT-BLUE-ICONIC-EDP-105ML,"1,983",11,769,6,"2,752",17,0.21%,0.21%,0.18%,0.15%,0.20%,0.18%,"2,847",12,"1,059",6,"3,906",18,0.23%,0.17%,0.19%,0.10%,0.22%,0.14%,1.36%,0.00%,3,0,0.11%,0.00%,£107.96,£0.00,3,0
B0DTFTG266,B0DTFTG266,Fired Earth Black Tea & Jasmine Ceramic Candle,WAXLYRICAL-BLKTEAJAS-CANDLE-CERAMIC,15,0,5,0,20,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,24,0,6,0,30,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,69.23%,0.00%,3,0,15.00%,0.00%,£74.22,£0.00,3,0
B08PDYCF78,B00005324L,"Revlon ColorStay Lip Liner Pencil with Built-in Sharpener, Longwearing & Defined Rich Lip Colors, Wine (670)",REV-CS-LIP-018,11,1,6,0,17,1,0.00%,0.02%,0.00%,0.00%,0.00%,0.01%,14,1,7,0,21,1,0.00%,0.01%,0.00%,0.00%,0.00%,0.01%,57.14%,0.00%,2,0,11.76%,0.00%,£12.90,£0.00,2,0
B000AA5VD6,B000AA5VD6,Instra-Dri Anti-Chip Top Coat by Sally Hansen Clear (2755),SH-INSTADRI-V2_PRIME,196,1,145,1,341,2,0.02%,0.02%,0.03%,0.02%,0.02%,0.02%,232,1,180,1,412,2,0.02%,0.01%,0.03%,0.02%,0.02%,0.02%,3.85%,0.00%,2,0,0.59%,0.00%,£15.82,£0.00,2,0
B07H83JXDB,B000AADEP8,"Sally Hansen Double Duty Strengthening Base and Top Coat, 13.3ml",SH-DOUBLEDUTY_SNL,"1,402",5,941,13,"2,343",18,0.15%,0.09%,0.22%,0.32%,0.17%,0.19%,"1,745",5,"1,188",18,"2,933",23,0.14%,0.07%,0.21%,0.31%,0.16%,0.18%,1.35%,0.00%,2,0,0.09%,0.00%,£10.44,£0.00,2,0
B08HQQX815,B001GNBVS0,"MAX FACTOR - Pan Stik Foundation - Rich Creamy Foundation, Smoothing Effect, Full Coverage, Dewy Skin Look - Normal To Dry Skin - 14 Cool Copper - 9g",MF-PS-14,"1,576",11,792,7,"2,368",18,0.16%,0.21%,0.19%,0.17%,0.17%,0.19%,"1,974",15,"1,052",9,"3,026",24,0.16%,0.22%,0.19%,0.16%,0.17%,0.19%,1.75%,0.00%,2,0,0.08%,0.00%,£11.86,£0.00,2,0
B00ARNR3CS,B001IZYQQU,"Max Factor Kohl Pencil Eyeliner, 20 Black, Easy to Blend Formula, Perfect for Smokey Eyes Make-up, 4 g",MF-KK-EL-020,"1,347",7,599,10,"1,946",17,0.14%,0.13%,0.14%,0.24%,0.14%,0.18%,"1,805",11,759,11,"2,564",22,0.14%,0.16%,0.14%,0.19%,0.14%,0.17%,4.87%,0.00%,2,0,0.10%,0.00%,£7.84,£0.00,2,0
B084LFM6HT,B002W5VWTE,"Maybelline Colossal Mascara 100% Black, 10.7ml",MAYB-MSC-GC-100BLK,"2,086",15,939,8,"3,025",23,0.22%,0.28%,0.22%,0.20%,0.22%,0.24%,"2,876",23,"1,307",13,"4,183",36,0.23%,0.33%,0.23%,0.23%,0.23%,0.28%,0.18%,0.00%,3,0,0.10%,0.00%,£18.87,£0.00,2,0
B079LZKQJ7,B004507Q4Y,"Max Factor 2 Calorie Curl Addict Mascara with Curved Brush, Volume and Curl In One, Black, 11 ml",MF-MSC-2K-CCA-BLK_SNL,36,0,24,2,60,2,0.00%,0.00%,0.01%,0.05%,0.00%,0.02%,50,0,40,4,90,4,0.00%,0.00%,0.01%,0.07%,0.00%,0.03%,0.00%,0.00%,3,0,5.00%,0.00%,£28.47,£0.00,2,0
B0H4F2L52Y,B0046U6RKC,"Rimmel Stay Matte Pressed Powder, Warm Beige, 14g",RIM-SMPP-006,"3,853",18,"1,500",15,"5,353",33,0.40%,0.34%,0.36%,0.37%,0.39%,0.35%,"4,740",22,"1,865",19,"6,605",41,0.38%,0.32%,0.33%,0.33%,0.36%,0.32%,2.23%,6.67%,2,0,0.04%,0.00%,£7.70,£0.00,2,0
B0GGB6BYK1,B0047X59DE,"Rimmel Lasting Finish Lipstick 206 Pink-Key-Promise, Creamy Satin Finish, Long Lasting 8 HR Wear, Comfortable Formula, Rich Pigment",RIM-LF-LS-206,"4,516",16,"2,229",10,"6,745",26,0.47%,0.30%,0.53%,0.24%,0.49%,0.28%,"5,987",18,"3,148",15,"9,135",33,0.48%,0.26%,0.56%,0.26%,0.50%,0.26%,2.24%,0.00%,2,0,0.03%,0.00%,£10.50,£0.00,2,0
B0GGB6BYK1,B0047X59DE,"Rimmel Lasting Finish Lipstick 206 Pink-Key-Promise, Creamy Satin Finish, Long Lasting 8 HR Wear, Comfortable Formula, Rich Pigment",RIM-LF-LS-206_PRIME,"4,516",16,"2,229",10,"6,745",26,0.47%,0.30%,0.53%,0.24%,0.49%,0.28%,"5,987",18,"3,148",15,"9,135",33,0.48%,0.26%,0.56%,0.26%,0.50%,0.26%,2.24%,0.00%,2,0,0.03%,0.00%,£10.50,£0.00,2,0
B0052Z82K8,B0052Z82K8,Rimmel Professional Eyebrow Dark Brown,RIM-EBP-DRKBRW-V2,213,0,90,0,303,0,0.02%,0.00%,0.02%,0.00%,0.02%,0.00%,263,0,129,0,392,0,0.02%,0.00%,0.02%,0.00%,0.02%,0.00%,0.00%,0.00%,2,0,0.66%,0.00%,£7.98,£0.00,2,0
B0C6B3GV8K,B007MJKHN2,"L.A. Girl PRO.Conceal HD High Definition Concealer, Natural 8g - Creamy Blendable Formula for Flawless Coverage, Colour Correcting & Highlighting",LAGIRL-PROHDCONC-972,250,1,108,0,358,1,0.03%,0.02%,0.03%,0.00%,0.03%,0.01%,300,1,134,0,434,1,0.02%,0.01%,0.02%,0.00%,0.02%,0.01%,20.09%,0.00%,2,0,0.56%,0.00%,£11.98,£0.00,2,0
B0BX3635ZB,B008JYH6FQ,"Bourjois Liner Feutre Eyeliner 41 Ultra Black, .8ml",BJS-FEUTRE-EL-41,76,0,52,1,128,1,0.01%,0.00%,0.01%,0.02%,0.01%,0.01%,98,0,66,3,164,3,0.01%,0.00%,0.01%,0.05%,0.01%,0.02%,5.59%,0.00%,2,0,1.56%,0.00%,£9.96,£0.00,2,0
B0DX3RSWR2,B00B1CGC8U,"Bourjois Rouge Edition Bullet Lipstick 1 Rouge Buzz Reds, 3.5g",BJS-ROUGE-LS-10,3,0,2,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5,0,4,0,9,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,87.50%,0.00%,5,0,100.00%,0.00%,£23.75,£0.00,2,0
B00BLHY5RA,B00BLHY5RA,"Elizabeth Arden Visible Difference Good Morning Retexturizing Primer, 0.5 oz",ELIZARDEN-VISDIF-RETEXTURE-PRIMER-15ML,6,0,10,0,16,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8,0,13,0,21,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,73.68%,0.00%,3,0,18.75%,0.00%,£93.00,£0.00,2,0
B0DP3GFVSJ,B00DMGDMXG,RIMMEL stay matte powder foundation 008 cashmere,RIM-SMPP-008_SNL,2,0,7,0,9,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,8,0,10,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,22.22%,0.00%,£14.98,£0.00,2,0
B0GVLVM2BB,B00EUZUNJO,Bourjois Cipria Java Rice Powder - 3.5 g,BJS-JAVA-PWDR-CLEAR,215,0,142,2,357,2,0.02%,0.00%,0.03%,0.05%,0.03%,0.02%,270,0,179,3,449,3,0.02%,0.00%,0.03%,0.05%,0.02%,0.02%,0.25%,0.00%,2,0,0.56%,0.00%,£17.90,£0.00,2,0
B0C6B3GV8K,B00HZIFOZQ,"L.A. Girl PRO.Conceal HD High Definition Concealer, Nude 8g - Creamy Blendable Formula for Flawless Coverage, Colour Correcting & Highlighting",LAGIRL-PROHDCONC-974,20,0,6,0,26,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25,0,6,0,31,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,56.67%,0.00%,2,0,7.69%,0.00%,£9.97,£0.00,2,0
B00JWN8VCU,B00JWN8VCU,Stargazer Neon Glow In UV Lipstick - Neon Pink,STARGAZER-NEON-LPK-PINK,7,0,3,0,10,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13,0,4,0,17,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,85.71%,0.00%,4,0,40.00%,0.00%,£19.16,£0.00,2,0
